"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2023","252.10","254.40","255.89","244.31","1.18M","-0.90%"
"12/12/2023","254.39","246.41","257.00","245.70","1.91M","3.24%"
"12/11/2023","246.41","239.70","247.48","228.99","2.06M","2.80%"
"12/10/2023","239.70","237.50","241.39","237.00","442.96K","0.93%"
"12/09/2023","237.50","238.80","245.20","236.50","856.78K","-0.55%"
"12/08/2023","238.80","232.70","239.90","232.40","780.76K","2.62%"
"12/07/2023","232.70","229.59","234.70","228.60","807.42K","1.35%"
"12/06/2023","229.59","231.20","234.70","228.81","873.94K","-0.69%"
"12/05/2023","231.20","233.50","234.90","228.20","874.43K","-0.99%"
"12/04/2023","233.50","228.10","236.80","226.00","1.50M","2.37%"
"12/03/2023","228.10","229.10","231.70","226.11","602.39K","-0.44%"
"12/02/2023","229.10","228.50","230.10","226.40","463.45K","0.26%"
